,datetime,Light
248,2023-08-22 13:24:19.597441+00:00,5275.0
249,2023-08-22 13:34:36.017483+00:00,4826.666
250,2023-08-22 13:44:51.987112+00:00,5785.0
251,2023-08-22 13:55:08.912151+00:00,6194.999
252,2023-08-22 14:05:25.420354+00:00,6424.166
253,2023-08-22 14:15:41.917801+00:00,6675.833
254,2023-08-22 14:25:58.181761+00:00,5845.833
255,2023-08-22 14:36:14.349530+00:00,5824.167
256,2023-08-22 19:41:29.937898+00:00,5.0
257,2023-08-22 19:51:31.565255+00:00,2.5
258,2023-08-22 20:01:46.915171+00:00,1.666667
259,2023-08-22 20:12:03.150628+00:00,1.666667
260,2023-08-22 20:22:18.899421+00:00,1.666667
261,2023-08-22 20:32:35.413535+00:00,0.8333333
262,2023-08-22 20:42:51.193772+00:00,0.8333333
263,2023-08-22 20:53:07.384448+00:00,0.8333333
264,2023-08-22 21:03:23.867734+00:00,0.8333333
265,2023-08-22 21:13:39.769443+00:00,0.8333333
266,2023-08-22 21:23:56.185529+00:00,0.8333333
267,2023-08-22 21:34:12.308368+00:00,48.33333
268,2023-08-22 21:44:29.711276+00:00,47.5
269,2023-08-22 21:54:46.645628+00:00,47.5
270,2023-08-22 22:05:03.662957+00:00,47.5
271,2023-08-22 22:15:20.163945+00:00,47.5
272,2023-08-22 22:25:36.616543+00:00,47.5
273,2023-08-22 22:35:53.062617+00:00,47.5
274,2023-08-22 22:46:09.693963+00:00,47.5
275,2023-08-22 22:56:25.943518+00:00,46.66667
276,2023-08-22 23:06:42.684351+00:00,46.66667
277,2023-08-22 23:16:59.490770+00:00,46.66667
278,2023-08-22 23:27:15.716714+00:00,46.66667
279,2023-08-22 23:37:32.306733+00:00,46.66667
280,2023-08-22 23:47:49.039609+00:00,47.5
281,2023-08-22 23:58:05.274162+00:00,47.5
282,2023-08-23 00:08:21.902763+00:00,47.5
283,2023-08-23 00:18:38.450689+00:00,46.66667
284,2023-08-23 00:28:54.949139+00:00,47.5
285,2023-08-23 00:39:11.220406+00:00,46.66667
286,2023-08-23 00:49:27.560718+00:00,46.66667
287,2023-08-23 00:59:44.147524+00:00,46.66667
